iter	Accuracy	MultiClass
95	0.9324944893	0.184042033
96	0.9324944893	0.1834025598
97	0.9325863336	0.1828817884
98	0.9328618663	0.182394005
99	0.9332292432	0.1819300402
100	0.9335966201	0.1811999921
101	0.9338721528	0.180802051
102	0.9337803086	0.1800947578
103	0.9335966201	0.1797532424
104	0.9338721528	0.17912328
105	0.9341476855	0.1785527721
106	0.9337803086	0.1780411244
107	0.9336884644	0.1777489766
108	0.9338721528	0.1773292564
109	0.9339639971	0.1767369457
110	0.934331374	0.176110527
111	0.934331374	0.1757009373
112	0.9349742836	0.1752488517
113	0.9354335048	0.1747694444
114	0.9357090375	0.1744665934
115	0.9358008817	0.1738317146
116	0.9361682586	0.173169401
117	0.9368111683	0.1724672486
118	0.9368111683	0.1722616641
119	0.9368111683	0.1719436115
120	0.9371785452	0.1713674552
121	0.937086701	0.1710392161
122	0.937086701	0.1707919525
123	0.9369948567	0.1704872436
124	0.9368111683	0.1701708076
125	0.9371785452	0.1697010335
126	0.9375459221	0.1694706021
127	0.9372703894	0.1690441472
128	0.9377296106	0.168722743
129	0.9380051433	0.1683789327
130	0.938280676	0.1681102716
131	0.938280676	0.1676248739
132	0.9380051433	0.167100939
133	0.9380051433	0.1668488547
134	0.938280676	0.1665760093
135	0.9381888317	0.1662327472
136	0.9384643644	0.1659557696
137	0.9385562087	0.1657456985
138	0.9384643644	0.1654637266
139	0.9384643644	0.1652374045
140	0.938280676	0.1648606304
141	0.9385562087	0.1643903828
142	0.9389235856	0.1640069179
143	0.9389235856	0.163698624
144	0.9388317414	0.1634430461
145	0.9389235856	0.1631655617
146	0.9387398971	0.1628997907
147	0.9388317414	0.1626820935
148	0.9391991183	0.1624727637
149	0.9393828068	0.1621180716
150	0.9392909625	0.1616525161
151	0.939474651	0.1612959363
152	0.9396583395	0.1610169607
153	0.9393828068	0.1607740894
154	0.9395664952	0.1605524747
155	0.9401175606	0.160213996
156	0.9403012491	0.1600657848
157	0.9402094048	0.1598762802
158	0.9403930933	0.1596613804
159	0.9405767818	0.1592407792
160	0.9403930933	0.1587670672
161	0.9404849375	0.1585372573
162	0.9405767818	0.1582740341
163	0.9410360029	0.1579222762
164	0.9409441587	0.1577501597
165	0.9409441587	0.1574992014
166	0.9414952241	0.157189023
167	0.9412196914	0.1567650375
168	0.9414952241	0.1565663939
169	0.9414952241	0.1563788381
170	0.9414952241	0.1560117905
171	0.9416789126	0.1556406369
172	0.9417707568	0.1554378905
173	0.9416789126	0.1551659326
174	0.9420462895	0.1547909521
175	0.9421381337	0.1546130679
176	0.9421381337	0.1545136248
177	0.9424136664	0.1543181152
178	0.9424136664	0.1539925167
179	0.9428728876	0.1537213761
180	0.9427810434	0.1536460232
181	0.9429647318	0.153485441
182	0.9428728876	0.1532140128
183	0.9427810434	0.152771384
184	0.9428728876	0.1524398293
185	0.9428728876	0.1522484925
186	0.9428728876	0.1519102313
187	0.9429647318	0.1516490816
188	0.943056576	0.1514543708
189	0.9436994857	0.1512001475
190	0.9436994857	0.1510567689
191	0.9435157972	0.1509065707
192	0.9435157972	0.1507215803
193	0.9433321087	0.1503567241
194	0.943423953	0.1499857346
195	0.9436076414	0.1497512794
196	0.9436076414	0.1494181594
197	0.9437913299	0.149267223
198	0.9437913299	0.1491456455
